nose_x,nose_y,eye_l_x,eye_l_y,eye_r_x,eye_r_y,shoulder_l_x,shoulder_l_y,shoulder_r_x,shoulder_r_y,label
0.486162573,0.403606057,0.508604228,0.349193692,0.521973133,0.348437786,0.670891047,0.674810946,0.293374449,0.68117106,Good Posture
0.486195982,0.403956711,0.508413553,0.349294335,0.521855056,0.348501325,0.670482159,0.673524857,0.294490397,0.681140006,Good Posture
0.486878544,0.404240102,0.508728623,0.349517167,0.522060573,0.348719388,0.670387447,0.673540831,0.294224203,0.683555901,Good Posture
0.48692137,0.404739499,0.508775055,0.349725097,0.522077918,0.348858863,0.67032516,0.672910631,0.294045597,0.68384701,Good Posture
0.487095654,0.405545086,0.509014189,0.3508012,0.522186399,0.349721611,0.670214057,0.672878444,0.294247806,0.683390975,Good Posture
0.487008661,0.405597985,0.508989751,0.350852311,0.522106767,0.349773973,0.668912947,0.672951877,0.293458164,0.684837461,Good Posture
0.486242771,0.405225217,0.508364916,0.350289881,0.5217098,0.349268049,0.669599891,0.672934234,0.29400456,0.683513522,Good Posture
0.486258686,0.405191392,0.508386374,0.350279361,0.521719754,0.349214703,0.669351101,0.673174739,0.294351876,0.683666408,Good Posture
0.486458778,0.40615502,0.508561254,0.351240933,0.521824539,0.350188583,0.669302881,0.673407793,0.294349045,0.683917344,Good Posture
0.486472696,0.406175613,0.508578598,0.351277262,0.521835327,0.350236475,0.668603539,0.673413157,0.294396788,0.683624268,Good Posture
0.486501217,0.406445712,0.508587241,0.351499289,0.521770716,0.350387663,0.668578088,0.673379064,0.295238793,0.683843315,Good Posture
0.488595337,0.406440139,0.509981096,0.351460516,0.523214638,0.350378811,0.666918755,0.674214244,0.29283151,0.682628453,Good Posture
0.488804162,0.409860879,0.510098577,0.354101568,0.523262858,0.352679998,0.666817069,0.674227118,0.292667091,0.683329821,Good Posture
0.488610923,0.416235149,0.510013938,0.359318286,0.523250699,0.357984126,0.663808882,0.674138665,0.292815745,0.681693316,Good Posture
0.48879981,0.415329665,0.510107994,0.358419985,0.523346782,0.357212633,0.664142251,0.676700532,0.292563379,0.682672083,Good Posture
0.487793744,0.415450692,0.509473443,0.358762562,0.522403836,0.357763678,0.66279161,0.675923884,0.29272455,0.682543874,Good Posture
0.487497091,0.414927334,0.509041905,0.358227104,0.52186656,0.357212424,0.663011909,0.675893724,0.294275463,0.682458043,Good Posture
0.48737058,0.41489324,0.509038687,0.358212918,0.521847367,0.357201219,0.662753582,0.675118327,0.293765098,0.682570219,Good Posture
0.488059431,0.414718896,0.509376585,0.357862562,0.52212435,0.356853276,0.662757516,0.674823761,0.293747038,0.682681322,Good Posture
0.488085747,0.414677709,0.509442568,0.357802182,0.522158921,0.356793493,0.662768781,0.674953043,0.293258518,0.682962,Good Posture
0.487478167,0.414266586,0.509128749,0.357326001,0.521942317,0.356193185,0.665986836,0.674919188,0.29542464,0.682581365,Good Posture
0.487294525,0.413046092,0.509098649,0.356253266,0.521922767,0.355124503,0.666015446,0.674677908,0.294945091,0.685023427,Good Posture
0.486714989,0.412778795,0.508934557,0.356076568,0.521749616,0.354961574,0.66846925,0.674971223,0.296059132,0.68500483,Good Posture
0.486106157,0.412734509,0.508899748,0.356043369,0.521759391,0.354927003,0.668462873,0.675859094,0.296154439,0.684440434,Good Posture
0.485730946,0.41273573,0.508550406,0.356054574,0.521524549,0.354918271,0.667173982,0.675857186,0.294733554,0.684507251,Good Posture
0.484974384,0.414915264,0.507975996,0.358045161,0.521090329,0.356790572,0.667010427,0.675782502,0.294786036,0.682576239,Good Posture
0.483646214,0.414508611,0.507384777,0.357672632,0.520739436,0.356314689,0.669655263,0.675735235,0.294956833,0.682598114,Good Posture
0.483620733,0.412729234,0.507390976,0.356698602,0.520732284,0.355737418,0.667699695,0.675731003,0.294514686,0.682611883,Good Posture
